,0
0,Alabama
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Indiana
6,Iowa
7,Massachusetts
8,Minnesota
9,Missouri
10,Nebraska
11,Pennsylvania
12,Tennessee
13,Utah
14,Vermont
15,West Virginia
16,Wisconsin
17,Wyoming
